transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost
1,2,2950,25/2/2017,False,Approved,Solex,Standard,medium,medium,71.49,53.62
2,3,3120,21/5/2017,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92
3,37,402,16/10/2017,False,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82
4,88,3135,31/8/2017,False,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.10
5,78,787,1/10/2017,True,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48
6,25,2339,8/3/2017,True,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65
7,22,1542,21/4/2017,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26
8,15,2459,15/7/2017,False,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44
9,67,1305,10/8/2017,False,Approved,Solex,Standard,medium,large,1071.23,380.74
10,12,3262,30/8/2017,True,Approved,WeareA2B,Standard,medium,medium,1231.15,161.60
11,5,1986,17/1/2017,False,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71
12,61,2783,5/1/2017,True,Approved,OHM Cycles,Standard,low,medium,71.16,56.93
13,35,1243,26/2/2017,True,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.40
14,16,2717,10/9/2017,False,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11
15,12,247,11/6/2017,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48
16,3,2961,10/10/2017,False,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92
17,79,2426,3/4/2017,False,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01
18,33,1842,2/6/2017,False,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18
19,54,2268,6/4/2017,True,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44
20,25,3002,28/1/2017,True,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65
21,27,1582,9/10/2017,False,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72
22,37,595,29/6/2017,True,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82
23,37,2001,8/4/2017,True,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82
24,82,515,18/10/2017,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65
25,89,2822,11/6/2017,False,Approved,WeareA2B,Touring,medium,large,1362.99,57.74
26,64,2596,10/1/2017,False,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55
27,64,2666,11/4/2017,True,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55
28,19,76,23/12/2017,False,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71
29,72,3368,13/10/2017,True,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.30
30,91,1173,15/3/2017,False,Approved,WeareA2B,Standard,low,medium,642.31,513.85
31,88,2810,5/9/2017,True,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.10
32,1,3214,18/2/2017,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82
33,25,1272,20/3/2017,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65
34,99,2003,28/2/2017,True,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42
35,0,2171,20/8/2017,False,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84
36,92,3356,7/7/2017,False,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36
37,14,1040,9/1/2017,False,Approved,Solex,Standard,high,large,1842.92,1105.75
38,2,2916,6/12/2017,False,Approved,Solex,Standard,medium,medium,71.49,53.62
39,12,427,12/9/2017,False,Approved,WeareA2B,Standard,medium,medium,1231.15,161.60
40,0,2448,28/11/2017,True,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84
41,44,2570,8/5/2017,True,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76
42,79,3398,14/5/2017,False,Approved,Solex,Touring,medium,large,2083.94,675.03
43,76,488,17/3/2017,False,Cancelled,WeareA2B,Standard,low,medium,642.31,513.85
44,46,165,22/12/2017,False,Approved,Solex,Standard,low,medium,1289.85,74.51
45,55,2787,7/6/2017,True,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76
46,66,3053,20/6/2017,False,Approved,Solex,Standard,medium,medium,1163.89,589.27
47,35,475,7/5/2017,True,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.40
48,81,1305,10/6/2017,True,Approved,Solex,Standard,medium,medium,1151.96,649.49
49,86,1251,17/6/2017,False,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07
50,32,3103,10/5/2017,False,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37
51,77,3108,24/3/2017,False,Approved,Norco Bicycles,Road,medium,large,1240.31,795.10
52,96,857,27/11/2017,False,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66
53,6,3455,21/12/2017,True,Approved,OHM Cycles,Standard,high,medium,227.88,136.73
54,27,2549,9/2/2017,True,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72
55,0,3140,18/9/2017,False,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41
56,47,3406,14/11/2017,False,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42
57,94,2294,30/8/2017,True,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66
58,91,1031,14/11/2017,False,Approved,Solex,Standard,medium,medium,100.35,75.26
